,train_accuracy,test_accuracy,test_precision,test_recall,test_f1
Logistic Regression,0.8036965450591931,0.751596877217885,0.5234375,0.7165775401069518,0.6049661399548533
Random Forest,0.9983087702343562,0.7764371894960965,0.5795148247978437,0.5748663101604278,0.5771812080536913
XGBoost,0.951075138922445,0.7700496806245565,0.5612745098039216,0.6122994652406417,0.5856777493606138
Naive Bayes,0.7832809857453491,0.7310149041873669,0.49544626593806923,0.7272727272727273,0.5893824485373781
